job_id,kind,dataset,setting,method,seed,status,repository_relative_report_paths,valid_reports,issues
original_tm_hf100_lfx10_seed_260,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,260,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_260/bl0r260/report.json,True,
original_tm_hf100_lfx10_seed_270,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,270,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_270/bl0r270/report.json,True,
original_tm_hf100_lfx10_seed_280,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,280,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_280/bl0r280/report.json,True,
original_tm_hf100_lfx10_seed_290,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,290,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_290/bl0r290/report.json,True,
original_tm_hf100_lfx10_seed_300,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,300,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_300/bl0r300/report.json,True,
original_tm_hf100_lfx10_seed_311,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,311,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_311/bl0r311/report.json,True,
original_tm_hf100_lfx10_seed_322,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,322,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_322/bl0r322/report.json,True,
original_tm_hf100_lfx10_seed_333,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,333,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_333/bl0r333/report.json,True,
original_tm_hf100_lfx10_seed_344,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,344,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_344/bl0r344/report.json,True,
original_tm_hf100_lfx10_seed_355,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,355,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_355/bl0r355/report.json,True,
original_tm_hf100_lfx10_seed_366,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,366,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_366/bl0r366/report.json,True,
original_tm_hf100_lfx10_seed_377,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,377,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_377/bl0r377/report.json,True,
original_tm_hf100_lfx10_seed_388,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,388,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_388/bl0r388/report.json,True,
original_tm_hf100_lfx10_seed_399,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,399,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_399/bl0r399/report.json,True,
original_tm_hf100_lfx15_seed_200,original_bundle,TM,hf100_lfx15,HF-only+AR1/co-kriging+Neural-GP MF,200,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx15/seed_200/bl0r200/report.json,True,
