seed,dim,recon_rmse_hfval,y_rmse_test,nll_test_raw,coverage_test_raw,width_test_raw,historical_project_relative_report_path
111,4,0.008090157993137836,0.020395085215568542,-2.453830368766944,0.9419999718666077,0.07701591402292252,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_004/fpca_dim004_seed111/report.json
222,4,0.008090157993137836,0.020687639713287354,-2.4503615867739557,0.9383999705314636,0.0772266611456871,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_004/fpca_dim004_seed222/report.json
333,4,0.008090157993137836,0.020551927387714386,-2.438046713837299,0.9429000020027161,0.0750395730137825,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_004/fpca_dim004_seed333/report.json
555,4,0.008090157993137836,0.023654725402593613,-2.263118271088544,0.932200014591217,0.07740043848752975,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_004/fpca_dim004_seed555/report.json
42,6,0.002672999631613493,0.020682986825704575,-2.4459497052340224,0.9577000141143799,0.08104553073644638,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_006/fpca_dim006_seed42/report.json
55,6,0.002672999631613493,0.017920084297657013,-2.604301117823393,0.9846000075340271,0.07766114175319672,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_006/fpca_dim006_seed55/report.json
66,6,0.002672999631613493,0.018267624080181122,-2.5691265223563247,0.968500018119812,0.08007469028234482,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_006/fpca_dim006_seed66/report.json
77,6,0.002672999631613493,0.022872263565659523,-2.353026265736221,0.9327999949455261,0.08101135492324829,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_006/fpca_dim006_seed77/report.json
88,6,0.002672999631613493,0.021527403965592384,-2.395261028576562,0.9606999754905701,0.08138421922922134,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_006/fpca_dim006_seed88/report.json
99,6,0.002672999631613493,0.02029206044971943,-2.462656495881317,0.9713000059127808,0.08426640927791595,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_006/fpca_dim006_seed99/report.json
111,6,0.002672999631613493,0.019413666799664497,-2.5188411378246163,0.9641000032424927,0.0815814957022667,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_006/fpca_dim006_seed111/report.json
222,6,0.002672999631613493,0.019225649535655975,-2.5308150681092507,0.9602000117301941,0.08026139438152313,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_006/fpca_dim006_seed222/report.json
333,6,0.002672999631613493,0.018982209265232086,-2.5423749953188186,0.9609000086784363,0.07735393196344376,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_006/fpca_dim006_seed333/report.json
555,6,0.002672999631613493,0.02333887480199337,-2.2997949040665073,0.9521999955177307,0.0809355154633522,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_006/fpca_dim006_seed555/report.json
42,8,0.0013042999198660254,0.02039320394396782,-2.4515847985684567,0.9514999985694885,0.08116371929645538,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_008/fpca_dim008_seed42/report.json
55,8,0.0013042999198660254,0.017695913091301918,-2.608085493187222,0.9847999811172485,0.0779256820678711,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_008/fpca_dim008_seed55/report.json
66,8,0.0013042999198660254,0.017106665298342705,-2.5998989707825313,0.9742000102996826,0.08245144039392471,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_008/fpca_dim008_seed66/report.json
77,8,0.0013042999198660254,0.021077651530504227,-2.44072802370614,0.9470000267028809,0.08201197534799576,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_008/fpca_dim008_seed77/report.json
88,8,0.0013042999198660254,0.021493222564458847,-2.3828455583451342,0.9623000025749207,0.08228563517332077,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_008/fpca_dim008_seed88/report.json
99,8,0.0013042999198660254,0.019070446491241455,-2.518131951194342,0.9746000170707703,0.08332208544015884,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_008/fpca_dim008_seed99/report.json
111,8,0.0013042999198660254,0.019178863614797592,-2.5282284699841213,0.9674999713897705,0.08226265013217926,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_008/fpca_dim008_seed111/report.json
222,8,0.0013042999198660254,0.018994014710187912,-2.5264866486366335,0.9595999717712402,0.08183849602937698,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_008/fpca_dim008_seed222/report.json
333,8,0.0013042999198660254,0.01845850981771946,-2.555099507411909,0.9661999940872192,0.07786485552787781,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_008/fpca_dim008_seed333/report.json
555,8,0.0013042999198660254,0.021573320031166077,-2.3977492907375493,0.9538999795913696,0.08125914633274078,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_008/fpca_dim008_seed555/report.json
42,10,0.0001554180053062737,0.02019638940691948,-2.4645356553992444,0.9510999917984009,0.08282425254583359,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_010/fpca_dim010_seed42/report.json
55,10,0.0001554180053062737,0.01785300485789776,-2.5938925599476272,0.9851999878883362,0.08006040006875992,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_010/fpca_dim010_seed55/report.json
66,10,0.0001554180053062737,0.01751275360584259,-2.590077375946005,0.9718999862670898,0.08375966548919678,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_010/fpca_dim010_seed66/report.json
77,10,0.0001554180053062737,0.020705988630652428,-2.4541297056955966,0.9560999870300293,0.08449553698301315,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_010/fpca_dim010_seed77/report.json
88,10,0.0001554180053062737,0.019967220723628998,-2.4698292287626606,0.9743000268936157,0.08363119512796402,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_010/fpca_dim010_seed88/report.json
99,10,0.0001554180053062737,0.01867048628628254,-2.5354069876740932,0.9749000072479248,0.08388260751962662,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_010/fpca_dim010_seed99/report.json
