target_local_id,target_row_id,target_global_idx,headroom,initial_best,oracle_pool_best,method,step,n_known_hf,best_true_target_rmse,is_stopped,stop_round,stop_reason
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,4,70,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,5,75,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,6,80,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,7,85,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,8,90,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,9,95,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,hf_only,10,100,0.020365629006368964,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,0,50,0.08094358550150722,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,1,55,0.02486077785086598,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,2,60,0.020365629006368964,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,3,65,0.020365629006368964,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,4,70,0.020365629006368964,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,5,75,0.020365629006368964,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ar1,6,80,0.01121842664726633,1,5,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ours_mean,0,50,0.08094358550150722,1,0,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ours_mean,1,55,0.01121842664726633,1,0,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ours_lcb,0,50,0.08094358550150722,1,0,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,ours_lcb,1,55,0.01121842664726633,1,0,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,0,50,0.08094358550150722,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,1,55,0.08094358550150722,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,2,60,0.08094358550150722,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,3,65,0.0761537886616738,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,4,70,0.0761537886616738,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,5,75,0.0761537886616738,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,6,80,0.0761537886616738,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,7,85,0.0761537886616738,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,8,90,0.06671496004570772,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,9,95,0.06671496004570772,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,random,10,100,0.06671496004570772,0,,
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,oracle,0,50,0.08094358550150722,1,0,reached_oracle_pool_best
4,5,1055825,0.0697251588542409,0.08094358550150722,0.01121842664726633,oracle,1,55,0.01121842664726633,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,hf_only,0,50,0.042655664868769316,1,2,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,hf_only,1,55,0.033501792415429436,1,2,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,hf_only,2,60,0.033501792415429436,1,2,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,hf_only,3,65,0.012732987391093041,1,2,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ar1,0,50,0.042655664868769316,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ar1,1,55,0.012732987391093041,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ours_mean,0,50,0.042655664868769316,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ours_mean,1,55,0.012732987391093041,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ours_lcb,0,50,0.042655664868769316,1,1,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ours_lcb,1,55,0.033501792415429436,1,1,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,ours_lcb,2,60,0.012732987391093041,1,1,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,random,0,50,0.042655664868769316,0,,
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,random,1,55,0.042655664868769316,0,,
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,random,2,60,0.042655664868769316,0,,
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,random,3,65,0.042655664868769316,0,,
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,oracle,0,50,0.042655664868769316,1,0,reached_oracle_pool_best
5,6,1230730,0.029922677477676275,0.042655664868769316,0.012732987391093041,oracle,1,55,0.012732987391093041,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,hf_only,0,50,0.019209998172600436,1,2,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,hf_only,1,55,0.017662841413107744,1,2,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,hf_only,2,60,0.017662841413107744,1,2,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,hf_only,3,65,0.007680645003359417,1,2,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ar1,0,50,0.019209998172600436,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ar1,1,55,0.007680645003359417,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ours_mean,0,50,0.019209998172600436,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ours_mean,1,55,0.007680645003359417,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ours_lcb,0,50,0.019209998172600436,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,ours_lcb,1,55,0.007680645003359417,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,random,0,50,0.019209998172600436,0,,
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,random,1,55,0.019209998172600436,0,,
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,random,2,60,0.019209998172600436,0,,
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,random,3,65,0.019209998172600436,0,,
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,oracle,0,50,0.019209998172600436,1,0,reached_oracle_pool_best
6,8,1304076,0.01152935316924102,0.019209998172600436,0.007680645003359417,oracle,1,55,0.007680645003359417,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,hf_only,0,50,0.030092935869832447,1,1,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,hf_only,1,55,0.014562354817332982,1,1,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,hf_only,2,60,0.01112765514795535,1,1,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ar1,0,50,0.030092935869832447,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ar1,1,55,0.01112765514795535,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ours_mean,0,50,0.030092935869832447,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ours_mean,1,55,0.01112765514795535,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ours_lcb,0,50,0.030092935869832447,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,ours_lcb,1,55,0.01112765514795535,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,random,0,50,0.030092935869832447,0,,
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,random,1,55,0.030092935869832447,0,,
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,random,2,60,0.030092935869832447,0,,
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,oracle,0,50,0.030092935869832447,1,0,reached_oracle_pool_best
7,9,1132985,0.018965280721877097,0.030092935869832447,0.01112765514795535,oracle,1,55,0.01112765514795535,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,hf_only,0,50,0.05671893210348089,1,1,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,hf_only,1,55,0.04016893018514902,1,1,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,hf_only,2,60,0.017811477320191338,1,1,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ar1,0,50,0.05671893210348089,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ar1,1,55,0.017811477320191338,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ours_mean,0,50,0.05671893210348089,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ours_mean,1,55,0.017811477320191338,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ours_lcb,0,50,0.05671893210348089,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,ours_lcb,1,55,0.017811477320191338,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,random,0,50,0.05671893210348089,0,,
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,random,1,55,0.05671893210348089,0,,
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,random,2,60,0.05671893210348089,0,,
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,oracle,0,50,0.05671893210348089,1,0,reached_oracle_pool_best
8,12,1117393,0.03890745478328955,0.05671893210348089,0.017811477320191338,oracle,1,55,0.017811477320191338,1,0,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,0,50,0.04306597075834305,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,1,55,0.041083215513934526,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,2,60,0.03271187303727417,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,3,65,0.03271187303727417,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,4,70,0.03271187303727417,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,5,75,0.03269954757062807,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,6,80,0.03269954757062807,1,8,reached_oracle_pool_best
9,13,1791408,0.030575334287110182,0.04306597075834305,0.012490636471232868,hf_only,7,85,0.03269954757062807,1,8,reached_oracle_pool_best
