dataset,setting,seed,comparator,ours_rmse,comparator_rmse,paired_difference,relative_difference_pct
AB,hf50_lfx10,260,MF-DeepONet,0.02035018987953663,0.024066253228371165,0.0037160633488345363,18.260583173090033
AB,hf50_lfx10,290,HF-only,0.019234674051404,0.023236749693751335,0.004002075642347336,20.806568552458582
AB,hf50_lfx10,290,AR1/co-kriging,0.019234674051404,0.01845153048634529,-0.0007831435650587082,-4.071519813466993
AB,hf50_lfx10,290,FPCA-NARGP,0.019234674051404,0.019882991909980774,0.0006483178585767746,3.3705684684032993
AB,hf50_lfx10,290,MF-DeepONet,0.019234674051404,0.021587648706682023,0.0023529746552780235,12.232984291752386
AB,hf50_lfx10,377,HF-only,0.019507374614477158,0.023111825808882713,0.0036044511944055557,18.477377225998197
AB,hf50_lfx10,377,AR1/co-kriging,0.019507374614477158,0.018502051010727882,-0.0010053236037492752,-5.153556660583053
AB,hf50_lfx10,377,FPCA-NARGP,0.019507374614477158,0.01974523440003395,0.0002378597855567932,1.219332638336009
AB,hf50_lfx10,377,MF-DeepONet,0.019507374614477158,0.026217129092625545,0.006709754478148387,34.395989264330964
AB,hf50_lfx10,300,HF-only,0.017659956589341164,0.023209737613797188,0.005549781024456024,31.425790864093333
AB,hf50_lfx10,300,AR1/co-kriging,0.017659956589341164,0.018413491547107697,0.0007535349577665329,4.266912854255464
AB,hf50_lfx10,300,FPCA-NARGP,0.017659956589341164,0.01983870379626751,0.002178747206926346,12.337217228729484
AB,hf50_lfx10,300,MF-DeepONet,0.017659956589341164,0.023455600625849803,0.005795644036508639,32.81799707257863
AB,hf50_lfx10,280,HF-only,0.01898048259317875,0.023119036108255386,0.004138553515076637,21.8042586365215
AB,hf50_lfx10,280,AR1/co-kriging,0.01898048259317875,0.01827087253332138,-0.0007096100598573685,-3.738630229098547
AB,hf50_lfx10,280,FPCA-NARGP,0.01898048259317875,0.01986142061650753,0.0008809380233287811,4.641283586990432
AB,hf50_lfx10,280,MF-DeepONet,0.01898048259317875,0.023509465941401745,0.004528983348222996,23.861265518352166
AB,hf50_lfx10,270,HF-only,0.018540646880865097,0.023225853219628334,0.004685206338763237,25.269918406129676
AB,hf50_lfx10,270,AR1/co-kriging,0.018540646880865097,0.01841062493622303,-0.00013002194464206696,-0.7012805188380795
AB,hf50_lfx10,270,FPCA-NARGP,0.018540646880865097,0.019760634750127792,0.0012199878692626953,6.580071758562997
AB,hf50_lfx10,270,MF-DeepONet,0.018540646880865097,0.022563775101271517,0.00402312822040642,21.69896361360776
AB,hf50_lfx10,230,HF-only,0.01894923485815525,0.023136744275689125,0.0041875094175338745,22.09856729772749
AB,hf50_lfx10,230,AR1/co-kriging,0.01894923485815525,0.018398845568299294,-0.000550389289855957,-2.9045462467266008
AB,hf50_lfx10,230,FPCA-NARGP,0.01894923485815525,0.01980036310851574,0.0008511282503604889,4.491623312136984
AB,hf50_lfx10,230,MF-DeepONet,0.01894923485815525,0.024715455298112903,0.005766220439957653,30.429832566437494
TM,hf100_lfx10,388,HF-only,0.019061706960201263,0.04368496686220169,0.024623259902000427,129.1765735010567
TM,hf100_lfx10,388,AR1/co-kriging,0.019061706960201263,0.027486946433782578,0.008425239473581314,44.19981637096973
TM,hf100_lfx10,388,FPCA-NARGP,0.019061706960201263,0.02878732979297638,0.009725622832775116,51.021783374810774
TM,hf100_lfx10,388,MF-DeepONet,0.019061706960201263,0.026544393175724976,0.007482686215523712,39.25506897754086
TM,hf100_lfx10,210,HF-only,0.018951069563627243,0.044117871671915054,0.02516680210828781,132.79884823276896
TM,hf100_lfx10,210,AR1/co-kriging,0.018951069563627243,0.02740742266178131,0.008456353098154068,44.62203607961174
TM,hf100_lfx10,210,FPCA-NARGP,0.018951069563627243,0.029045898467302322,0.01009482890367508,53.267858417078834
TM,hf100_lfx10,210,MF-DeepONet,0.018951069563627243,0.02872486120639845,0.009773791642771208,51.57382600468118
TM,hf100_lfx10,344,HF-only,0.019268030300736427,0.044258568435907364,0.024990538135170937,129.69949571968337
TM,hf100_lfx10,344,AR1/co-kriging,0.019268030300736427,0.027530184015631676,0.008262153714895248,42.88011584961784
TM,hf100_lfx10,344,FPCA-NARGP,0.019268030300736427,0.02902226336300373,0.009754233062267303,50.62392424146486
TM,hf100_lfx10,344,MF-DeepONet,0.019268030300736427,0.030366327460513893,0.011098297159777466,57.59954176194796
TM,hf100_lfx10,333,HF-only,0.018982209265232086,0.043991927057504654,0.025009717792272568,131.75346158510905
TM,hf100_lfx10,333,AR1/co-kriging,0.018982209265232086,0.027401544153690338,0.008419334888458252,44.35381978366001
TM,hf100_lfx10,333,FPCA-NARGP,0.018982209265232086,0.029002437368035316,0.01002022810280323,52.78747042977938
TM,hf100_lfx10,333,MF-DeepONet,0.018982209265232086,0.02924434347188151,0.010262134206649422,54.06185372450614
TM,hf100_lfx10,311,HF-only,0.018449874594807625,0.04404901713132858,0.025599142536520958,138.74968312101896
