dataset,setting,method,seed,split,metric,value,source
AB,hf100_lfx10,Neural-GP MF (ours),210,test,nll_cal,-3.189383034635422,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,val,nlpd_raw,-2.620843542627699,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,val,nlpd_raw,-2.732823752374052,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,val,nlpd_raw,-3.105823910853521,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,val,nlpd_cal,-2.620843542627699,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,val,nlpd_cal,-2.732823752374052,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,val,nlpd_cal,-3.105823910853521,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,nlpd_raw,-2.786249590451167,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,nlpd_raw,-2.7999927804268547,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,nlpd_raw,-3.189383034635422,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,nlpd_cal,-2.786249590451167,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,nlpd_cal,-2.7999927804268547,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,nlpd_cal,-3.189383034635422,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,344,test,target_rmse,0.016885679215192795,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,target_rmse,0.016050957143306732,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,target_rmse,0.013440476730465889,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
