dataset,setting,method,split,metric,n,mean,std,median,min,max,ci95_low,ci95_high
AB,hf200_lfx10,FPCA-NARGP,test,r2,20,0.9856607691530904,0.0003124973001867976,0.9856920522128225,0.9850403837527224,0.9860878863146156,0.9855145159146357,0.9858070223915452
AB,hf200_lfx10,FPCA-NARGP,test,rmse,20,0.01428775149397552,0.00015520909953478472,0.014272958040237427,0.014074140228331089,0.01459437608718872,0.014215111399385779,0.014360391588565261
AB,hf200_lfx10,FPCA-NARGP,val,coverage_raw,20,0.9501275092363357,0.002517909353020784,0.9503749907016754,0.9448999762535095,0.9556000232696533,0.9489490913850626,0.9513059270876089
AB,hf200_lfx10,FPCA-NARGP,val,gaussian_nll,20,-2.861420868604891,0.004996289960812592,-2.860963276770497,-2.870740731018192,-2.8530568833623486,-2.8637592042852025,-2.8590825329245795
AB,hf200_lfx10,FPCA-NARGP,val,gaussian_nlpd,20,-2.861420868604891,0.004996289960812592,-2.860963276770497,-2.870740731018192,-2.8530568833623486,-2.8637592042852025,-2.8590825329245795
AB,hf200_lfx10,FPCA-NARGP,val,interval_width_raw,20,0.0639720045030117,0.0002125931224172091,0.0639791451394558,0.06358616799116135,0.0644252821803093,0.06387250785901466,0.06407150114700874
AB,hf200_lfx10,FPCA-NARGP,val,r2,20,0.9845114078809439,0.0002114818099112151,0.9845055541117753,0.9840646052383833,0.9849497221555147,0.9844124313472097,0.9846103844146782
AB,hf200_lfx10,FPCA-NARGP,val,rmse,20,0.016466937214136123,0.00011246941358312038,0.016470408998429775,0.016232624650001526,0.016703132539987564,0.016414299908297625,0.01651957451997462
AB,hf200_lfx10,HF-only,test,nll_cal,20,-2.8635583023214592,0.0025203077686189283,-2.8635365750303423,-2.868429939545171,-2.8591573941787396,-2.864737842665785,-2.8623787619771335
AB,hf200_lfx10,HF-only,test,nll_raw,20,-2.8635583023214592,0.0025203077686189283,-2.8635365750303423,-2.868429939545171,-2.8591573941787396,-2.864737842665785,-2.8623787619771335
AB,hf200_lfx10,HF-only,test,nlpd_cal,20,-2.8635583023214592,0.0025203077686189283,-2.8635365750303423,-2.868429939545171,-2.8591573941787396,-2.864737842665785,-2.8623787619771335
AB,hf200_lfx10,HF-only,test,nlpd_raw,20,-2.8635583023214592,0.0025203077686189283,-2.8635365750303423,-2.868429939545171,-2.8591573941787396,-2.864737842665785,-2.8623787619771335
AB,hf200_lfx10,HF-only,test,r2,20,0.9819279415210017,0.00011491080305311443,0.9819378959929168,0.9817039779341883,0.9820975063272562,0.9818741616097195,0.9819817214322839
AB,hf200_lfx10,HF-only,test,target_rmse,20,0.016040836833417414,5.0971712970995865e-05,0.016036495566368103,0.015965482220053673,0.016140002757310867,0.01601698133742709,0.01606469232940774
AB,hf200_lfx10,HF-only,test,y_rmse,20,0.016040836833417414,5.0971712970995865e-05,0.016036495566368103,0.015965482220053673,0.016140002757310867,0.01601698133742709,0.01606469232940774
AB,hf200_lfx10,HF-only,val,nll_cal,20,-2.613727732541151,0.006190627677496231,-2.613223386899816,-2.623536851969276,-2.60490869181352,-2.616625035479001,-2.6108304296033014
AB,hf200_lfx10,HF-only,val,nll_raw,20,-2.613727732541151,0.006190627677496231,-2.613223386899816,-2.623536851969276,-2.60490869181352,-2.616625035479001,-2.6108304296033014
AB,hf200_lfx10,HF-only,val,nlpd_cal,20,-2.613727732541151,0.006190627677496231,-2.613223386899816,-2.623536851969276,-2.60490869181352,-2.616625035479001,-2.6108304296033014
AB,hf200_lfx10,HF-only,val,nlpd_raw,20,-2.613727732541151,0.006190627677496231,-2.613223386899816,-2.623536851969276,-2.60490869181352,-2.616625035479001,-2.6108304296033014
AB,hf200_lfx10,HF-only,val,r2,20,0.9729795051829869,0.00028932907757458695,0.9729551426222911,0.972470662247985,0.9734703486407946,0.9728440950064858,0.973114915359488
AB,hf200_lfx10,MF-DeepONet,test,r2,20,0.9886065337826583,0.0013725946150645503,0.9881313181435478,0.9865017342078747,0.9907777422747078,0.9879641397286337,0.9892489278366828
AB,hf200_lfx10,MF-DeepONet,test,rmse,20,0.012714236431329348,0.0007738901225422163,0.012999496563519793,0.011458926147131569,0.01386322528229553,0.012352044704993521,0.013076428157665174
AB,hf200_lfx10,MF-DeepONet,val,r2,20,0.9882147366736801,0.00096708358474217,0.9880621141735404,0.9867751335319042,0.989821280462,0.9877621276238086,0.9886673457235516
AB,hf200_lfx10,MF-DeepONet,val,rmse,20,0.014352705602731863,0.0005934235775758185,0.014457042283818168,0.013349440571600762,0.015216407843763831,0.014074974819317137,0.014630436386146589
AB,hf200_lfx10,Neural-GP MF (ours),test,nll_cal,20,-3.3633808933444187,0.047979665494301244,-3.3736608555596375,-3.422578893149594,-3.2565675206613816,-3.38583606801096,-3.3409257186778776
AB,hf200_lfx10,Neural-GP MF (ours),test,nll_raw,20,-3.3633808933444187,0.047979665494301244,-3.3736608555596375,-3.422578893149594,-3.2565675206613816,-3.38583606801096,-3.3409257186778776
AB,hf200_lfx10,Neural-GP MF (ours),test,nlpd_cal,20,-3.3633808933444187,0.047979665494301244,-3.3736608555596375,-3.422578893149594,-3.2565675206613816,-3.38583606801096,-3.3409257186778776
AB,hf200_lfx10,Neural-GP MF (ours),test,nlpd_raw,20,-3.3633808933444187,0.047979665494301244,-3.3736608555596375,-3.422578893149594,-3.2565675206613816,-3.38583606801096,-3.3409257186778776
AB,hf200_lfx10,Neural-GP MF (ours),test,r2,20,0.9932225414097223,0.0009898273741670107,0.9934006221790657,0.9907081683753506,0.9947492013597278,0.9927592879387434,0.9936857948807013
AB,hf200_lfx10,Neural-GP MF (ours),test,target_rmse,20,0.009799944004043937,0.0006950246108080103,0.009693414438515902,0.00864645279943943,0.011502068489789963,0.009474662473369398,0.010125225534718476
AB,hf200_lfx10,Neural-GP MF (ours),test,y_rmse,20,0.009799944004043937,0.0006950246108080103,0.009693414438515902,0.00864645279943943,0.011502068489789963,0.009474662473369398,0.010125225534718476
AB,hf200_lfx10,Neural-GP MF (ours),val,nll_cal,20,-3.2605161144978383,0.03268904226494236,-3.2671667291813593,-3.3109766781494088,-3.161445393301584,-3.2758150572099005,-3.245217171785776
AB,hf200_lfx10,Neural-GP MF (ours),val,nll_raw,20,-3.2605161144978383,0.03268904226494236,-3.2671667291813593,-3.3109766781494088,-3.161445393301584,-3.2758150572099005,-3.245217171785776
AB,hf200_lfx10,Neural-GP MF (ours),val,nlpd_cal,20,-3.2605161144978383,0.03268904226494236,-3.2671667291813593,-3.3109766781494088,-3.161445393301584,-3.2758150572099005,-3.245217171785776
AB,hf200_lfx10,Neural-GP MF (ours),val,nlpd_raw,20,-3.2605161144978383,0.03268904226494236,-3.2671667291813593,-3.3109766781494088,-3.161445393301584,-3.2758150572099005,-3.245217171785776
AB,hf200_lfx10,Neural-GP MF (ours),val,r2,20,0.9931285579496368,0.0005787909832721521,0.9930736410811413,0.9917191925877459,0.9941986797984838,0.9928576754311595,0.9933994404681141
AB,hf300_lfx10,AR1/co-kriging,test,nll_cal,20,-2.9006558897942076,0.002721310773147354,-2.900688179820893,-2.9054760529178885,-2.8958574999453344,-2.901929502440386,-2.899382277148029
AB,hf300_lfx10,AR1/co-kriging,test,nll_raw,20,-2.9006558897942076,0.002721310773147354,-2.900688179820893,-2.9054760529178885,-2.8958574999453344,-2.901929502440386,-2.899382277148029
AB,hf300_lfx10,AR1/co-kriging,test,nlpd_cal,20,-2.9006558897942076,0.002721310773147354,-2.900688179820893,-2.9054760529178885,-2.8958574999453344,-2.901929502440386,-2.899382277148029
AB,hf300_lfx10,AR1/co-kriging,test,nlpd_raw,20,-2.9006558897942076,0.002721310773147354,-2.900688179820893,-2.9054760529178885,-2.8958574999453344,-2.901929502440386,-2.899382277148029
AB,hf300_lfx10,AR1/co-kriging,test,r2,20,0.989313042944133,0.000141922132779511,0.9893348710345654,0.9890554172510019,0.9895458567454574,0.9892466213414024,0.9893794645468637
AB,hf300_lfx10,AR1/co-kriging,test,target_rmse,20,0.012335116183385253,8.185786929721829e-05,0.012322769965976477,0.012200272642076015,0.012483170256018639,0.012296805521275317,0.01237342684549519
AB,hf300_lfx10,AR1/co-kriging,test,y_rmse,20,0.012335116183385253,8.185786929721829e-05,0.012322769965976477,0.012200272642076015,0.012483170256018639,0.012296805521275317,0.01237342684549519
AB,hf300_lfx10,AR1/co-kriging,val,nll_cal,20,-2.8934040018232148,0.0013686284285009608,-2.893385161670024,-2.895836779085392,-2.890539234481289,-2.894044539644789,-2.8927634640016406
AB,hf300_lfx10,AR1/co-kriging,val,nll_raw,20,-2.8934040018232148,0.0013686284285009608,-2.893385161670024,-2.895836779085392,-2.890539234481289,-2.894044539644789,-2.8927634640016406
AB,hf300_lfx10,AR1/co-kriging,val,nlpd_cal,20,-2.8934040018232148,0.0013686284285009608,-2.893385161670024,-2.895836779085392,-2.890539234481289,-2.894044539644789,-2.8927634640016406
AB,hf300_lfx10,AR1/co-kriging,val,nlpd_raw,20,-2.8934040018232148,0.0013686284285009608,-2.893385161670024,-2.895836779085392,-2.890539234481289,-2.894044539644789,-2.8927634640016406
AB,hf300_lfx10,AR1/co-kriging,val,r2,20,0.9906685633844109,7.146000413778884e-05,0.9906715027068186,0.9905580405354961,0.9908187069465585,0.9906351190729916,0.9907020076958302
AB,hf300_lfx10,FPCA-NARGP,test,coverage_raw,20,0.987034997344017,0.000883945851603158,0.9869499802589417,0.9850999712944031,0.9890000224113464,0.9866212979509716,0.9874486967370624
