dataset,setting,comparator,n_paired,mean_ours_rmse,mean_comparator_rmse,mean_paired_difference,std_paired_difference,paired_difference_ci95_low,paired_difference_ci95_high,relative_difference_pct
TM,hf400_lfx10,FPCA-NARGP,20,0.012910927506163716,0.025416496954858304,0.012505569448694586,0.0006973079618407725,0.0121792192768418,0.012831919620547373,96.8603490548947
TM,hf400_lfx10,HF-only,20,0.012910927506163716,0.026861813757568596,0.013950886251404882,0.0005978212437754562,0.0136710972968541,0.014230675205955664,108.05487246942317
TM,hf400_lfx10,MF-DeepONet,20,0.012910927506163716,0.019233454612263688,0.0063225271060999705,0.001301324035244348,0.005713488710185126,0.006931565502014815,48.97035556184154
TM,hf500_lfx10,AR1/co-kriging,20,0.013224848173558712,0.019655120745301246,0.006430272571742534,0.0007817874068817702,0.0060643848025642025,0.006796160340920866,48.62265704190836
TM,hf500_lfx10,FPCA-NARGP,20,0.013224848173558712,0.023406902421265842,0.010182054247707129,0.0008984431239704384,0.009761569922340054,0.010602538573074203,76.99184228114441
TM,hf500_lfx10,HF-only,20,0.013224848173558712,0.02498420560732484,0.011759357433766127,0.0008016692783551785,0.01138416466231165,0.012134550205220604,88.91865735954055
TM,hf500_lfx10,MF-DeepONet,20,0.013224848173558712,0.018097717721204935,0.004872869547646223,0.0015345231648579323,0.004154690599507637,0.0055910484957848085,36.84631750547325
TM,hf50_lfx10,AR1/co-kriging,20,0.028111294843256474,0.03804206550121307,0.009930770657956601,0.0008155378951413588,0.009549087174049075,0.010312454141864127,35.32662125074206
TM,hf50_lfx10,FPCA-NARGP,20,0.028111294843256474,0.04398181941360235,0.01587052457034588,0.0008219448836588176,0.015485842523510415,0.016255206617181342,56.45604252254146
TM,hf50_lfx10,HF-only,20,0.028111294843256474,0.06837917938828468,0.04026788454502821,0.0008188240186254851,0.039884663107988834,0.04065110598206758,143.24450285749802
TM,hf50_lfx10,MF-DeepONet,20,0.028111294843256474,0.038087601303968835,0.009976306460712351,0.002846780372277497,0.00864397223457305,0.011308640686851652,35.48860526111818
