seed,hf,lf_mult,dataset_name,status,metrics.y_rmse.hf_only,metrics.y_rmse.ar1,metrics.y_rmse.ours
290,50,5,hf50_lfx05,OK,0.068336971104145,0.0427851900458335,0.0355229042470455
290,50,5,hf50_lfx05,BAD,,,
200,50,5,hf50_lfx05,OK,0.0684366449713707,0.04283007979393,0.0313556641340255
200,50,5,hf50_lfx05,BAD,,,
333,50,5,hf50_lfx05,OK,0.0683459341526031,0.0427938252687454,0.031492032110691
333,50,5,hf50_lfx05,BAD,,,
366,100,10,hf100_lfx10,OK,0.0438300259411335,0.027534507215023,0.0207811128348112
366,100,10,hf100_lfx10,BAD,,,
300,100,10,hf100_lfx10,OK,0.0436461679637432,0.0274356510490179,0.0201104078441858
300,100,10,hf100_lfx10,BAD,,,
210,100,10,hf100_lfx10,OK,0.044117871671915,0.0274071507155895,0.0189510695636272
210,100,10,hf100_lfx10,BAD,,,
220,100,10,hf100_lfx10,OK,0.0438917689025402,0.0275938771665096,0.0190130602568388
220,100,10,hf100_lfx10,BAD,,,
377,100,10,hf100_lfx10,OK,0.0438814386725425,0.0274831745773553,0.0175315160304307
377,100,10,hf100_lfx10,BAD,,,
260,100,10,hf100_lfx10,OK,0.0438454374670982,0.0275301281362772,0.0182993430644273
260,100,10,hf100_lfx10,BAD,,,
240,100,10,hf100_lfx10,OK,0.0438135489821434,0.027341354638338,0.0175315123051404
240,100,10,hf100_lfx10,BAD,,,
355,100,10,hf100_lfx10,OK,0.0437201373279094,0.0274896174669265,0.0191625114530324
355,100,10,hf100_lfx10,BAD,,,
311,100,10,hf100_lfx10,OK,0.0440490171313285,0.0273669958114624,0.0184498745948076
311,100,10,hf100_lfx10,BAD,,,
280,100,10,hf100_lfx10,OK,0.0441854149103164,0.0276426989585161,0.0181984417140483
280,100,10,hf100_lfx10,BAD,,,
399,100,10,hf100_lfx10,OK,0.0439814962446689,0.0273412130773067,0.0219588931649923
399,100,10,hf100_lfx10,BAD,,,
270,100,10,hf100_lfx10,OK,0.0440760776400566,0.0272776745259761,0.022288566455245
270,100,10,hf100_lfx10,BAD,,,
344,100,10,hf100_lfx10,OK,0.0442585684359073,0.0275476183742284,0.0192680303007364
344,100,10,hf100_lfx10,BAD,,,
388,100,10,hf100_lfx10,OK,0.0436849668622016,0.0274283904582262,0.0190617069602012
388,100,10,hf100_lfx10,BAD,,,
250,100,10,hf100_lfx10,OK,0.0438981428742408,0.0274636149406433,0.0183824561536312
250,100,10,hf100_lfx10,BAD,,,
230,100,10,hf100_lfx10,OK,0.0437149554491043,0.0275876000523567,0.0194216798990964
230,100,10,hf100_lfx10,BAD,,,
322,100,10,hf100_lfx10,OK,0.0439098812639713,0.0274213980883359,0.0197166912257671
322,100,10,hf100_lfx10,BAD,,,
290,100,10,hf100_lfx10,OK,0.0440068058669567,0.0275869518518447,0.0216881334781646
290,100,10,hf100_lfx10,BAD,,,
200,100,10,hf100_lfx10,OK,0.0439735502004623,0.0276332329958677,0.0188779961317777
200,100,10,hf100_lfx10,BAD,,,
333,100,10,hf100_lfx10,OK,0.0439919270575046,0.0273989532142877,0.018982209265232
333,100,10,hf100_lfx10,BAD,,,
366,500,10,hf500_lfx10,OK,0.0251425597816705,0.0193423945456743,0.0130830043926835
366,500,10,hf500_lfx10,BAD,,,
300,500,10,hf500_lfx10,OK,0.0247831810265779,0.0194274894893169,0.0129881147295236
300,500,10,hf500_lfx10,BAD,,,
210,500,10,hf500_lfx10,OK,0.0246980730444192,0.0197003986686468,0.0135255875065922
210,500,10,hf500_lfx10,BAD,,,
220,500,10,hf500_lfx10,OK,0.0250256080180406,0.0196200720965862,0.0127328475937247
220,500,10,hf500_lfx10,BAD,,,
377,500,10,hf500_lfx10,OK,0.0253340564668178,0.0196151193231344,0.0131802037358284
377,500,10,hf500_lfx10,BAD,,,
260,500,10,hf500_lfx10,OK,0.0247860085219144,0.0196769908070564,0.0120791122317314
260,500,10,hf500_lfx10,BAD,,,
240,500,10,hf500_lfx10,OK,0.0248293299227952,0.0195673145353794,0.0133695276454091
240,500,10,hf500_lfx10,BAD,,,
355,500,10,hf500_lfx10,OK,0.0251714773476123,0.0197201035916805,0.0137154543772339
355,500,10,hf500_lfx10,BAD,,,
311,500,10,hf500_lfx10,OK,0.0248532257974147,0.0196399223059415,0.0128916641697287
311,500,10,hf500_lfx10,BAD,,,
280,500,10,hf500_lfx10,OK,0.0249407477676868,0.0200226288288831,0.0132293794304132
280,500,10,hf500_lfx10,BAD,,,
399,500,10,hf500_lfx10,OK,0.024983711540699,0.0197158008813858,0.0143375676125288
399,500,10,hf500_lfx10,BAD,,,
270,500,10,hf500_lfx10,OK,0.0249848347157239,0.0194918289780616,0.0141276670619845
270,500,10,hf500_lfx10,BAD,,,
344,500,10,hf500_lfx10,OK,0.0251393318176269,0.019810376688838,0.0128128388896584
344,500,10,hf500_lfx10,BAD,,,
388,500,10,hf500_lfx10,OK,0.0248288251459598,0.0196592435240745,0.0123743405565619
