source_job_id,phase,dataset,setting,method,kind,hf_budget,lf_multiplier,seed,freq_start,freq_end,explicit_scientific_options_json
original_tm_hf50_lfx10_seed_240,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,240,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_250,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,250,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_260,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,260,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_270,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,270,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_280,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,280,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_290,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,290,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_300,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,300,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_311,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,311,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_322,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,322,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_333,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,333,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
